AGE,CITIZEN,CRIMHIST,CRIMPTS,judge,NEWEDUC,NEWRACE,MONSEX,OFFICE,PRISTOT,PROBATN,SENTDATE,SENTMON,SENTYR
33,2,1,1,John J. McConnell Jr.,5,3,0,1,0,0,,10,2016
37,1,1,13,John J. McConnell Jr.,1,2,0,1,0,0,,1,2017
28,1,1,9,John J. McConnell Jr.,3,3,0,1,57,0,,2,2017
50,1,1,0,John J. McConnell Jr.,1,3,1,1,0,24,,6,2016
31,1,1,13,John J. McConnell Jr.,1,3,0,1,24,0,,1,2017
32,1,1,4,John J. McConnell Jr.,5,1,0,1,15,0,,2,2017
41,1,0,0,John J. McConnell Jr.,6,1,0,1,0,36,,2,2017
51,1,1,0,John J. McConnell Jr.,3,1,0,1,180,0,,4,2017
26,1,1,0,John J. McConnell Jr.,5,1,0,1,0,24,,10,2016
26,1,1,9,John J. McConnell Jr.,3,2,0,1,60,0,,6,2017
31,1,1,0,John J. McConnell Jr.,5,1,0,1,24,0,,6,2017
26,1,1,2,John J. McConnell Jr.,3,3,0,1,60,0,,6,2017
67,1,0,0,John J. McConnell Jr.,6,1,0,1,6,0,,9,2016
23,1,1,0,John J. McConnell Jr.,3,1,0,1,0,36,,11,2016
24,1,1,4,John J. McConnell Jr.,3,1,0,1,180,0,,8,2017
30,1,1,11,John J. McConnell Jr.,1,2,0,1,42,0,,9,2017
39,3,1,10,John J. McConnell Jr.,3,3,0,1,30,0,,1,2017
49,1,1,1,John J. McConnell Jr.,1,1,0,1,60,0,,7,2017
36,1,1,0,John J. McConnell Jr.,5,1,0,1,60,0,,4,2018
41,1,1,2,John J. McConnell Jr.,5,3,0,1,0,36,,1,2017
36,1,1,4,John J. McConnell Jr.,3,3,0,1,60,0,,4,2017
42,1,0,0,John J. McConnell Jr.,6,1,0,1,12,0,,8,2017
32,1,1,7,John J. McConnell Jr.,5,2,0,1,72,0,,7,2018
32,1,1,3,John J. McConnell Jr.,5,1,0,1,120,0,,11,2017
46,1,0,0,John J. McConnell Jr.,3,1,1,1,0,24,,4,2017
50,1,1,0,John J. McConnell Jr.,6,1,0,1,0,0,,6,2017
63,1,0,0,John J. McConnell Jr.,6,1,0,1,51,0,,3,2018
34,1,1,8,John J. McConnell Jr.,1,2,0,1,24,0,,7,2017
47,3,1,6,John J. McConnell Jr.,1,3,0,1,0,0,,6,2017
62,1,1,0,John J. McConnell Jr.,6,1,0,1,120,0,,7,2017
25,1,1,13,John J. McConnell Jr.,5,1,0,1,36,0,,12,2017
32,1,0,0,John J. McConnell Jr.,5,1,0,1,0,0,,3,2018
41,1,1,3,John J. McConnell Jr.,1,3,0,1,72,0,,10,2017
31,1,1,8,John J. McConnell Jr.,3,2,0,1,84,0,,12,2017
50,1,1,3,John J. McConnell Jr.,1,3,0,1,72,0,,1,2018
55,1,1,0,John J. McConnell Jr.,5,3,0,1,0,0,,2,2018
56,1,0,0,John J. McConnell Jr.,3,3,0,1,0,0,,7,2018
42,1,1,0,John J. McConnell Jr.,1,3,1,1,24,0,,7,2018
45,3,1,10,John J. McConnell Jr.,1,3,0,1,29,0,,6,2018
44,3,1,1,John J. McConnell Jr.,1,3,0,1,0,0,,6,2017
44,3,1,0,John J. McConnell Jr.,1,3,0,1,24,0,,9,2017
25,1,1,20,John J. McConnell Jr.,5,2,0,1,48,0,,1,2018
30,1,1,3,John J. McConnell Jr.,3,2,0,1,36,0,,1,2018
43,1,1,3,John J. McConnell Jr.,1,3,0,1,12,0,,4,2018
37,1,1,3,John J. McConnell Jr.,5,2,0,1,39,0,,7,2018
51,1,1,0,John J. McConnell Jr.,1,3,0,1,12,0,,5,2018
56,1,1,4,John J. McConnell Jr.,5,1,0,1,0,0,,7,2018
39,1,1,6,John J. McConnell Jr.,5,2,0,1,48,0,,9,2018
31,1,1,12,John J. McConnell Jr.,3,1,0,1,72,0,,9,2018
26,1,1,0,John J. McConnell Jr.,1,3,0,1,24,0,,5,2018
28,1,0,0,John J. McConnell Jr.,5,1,0,1,30,0,,9,2018
29,1,1,15,John J. McConnell Jr.,5,3,0,1,36,0,,5,2018
39,3,1,1,John J. McConnell Jr.,1,3,1,1,60,0,,5,2018
40,1,1,6,John J. McConnell Jr.,5,3,0,1,84,0,,8,2018
47,1,1,3,John J. McConnell Jr.,6,3,0,1,40,0,,6,2018
23,1,1,6,John J. McConnell Jr.,1,2,0,1,41,0,,8,2018
42,1,0,0,John J. McConnell Jr.,3,1,1,1,24,0,,9,2018
29,1,1,12,John J. McConnell Jr.,3,3,0,1,34,0,,9,2018
27,4,1,2,William E. Smith,3,2,0,1,204,0,3/19/2002,3,2002
28,1,1,14,William E. Smith,3,1,0,1,262,0,4/4/2003,4,2003
23,1,1,11,William E. Smith,1,1,0,1,9996,0,10/8/2002,10,2002
21,1,1,2,William E. Smith,1,2,0,1,360,0,11/13/2002,11,2002
21,1,1,6,William E. Smith,3,2,0,1,9996,0,9/10/2002,9,2002
22,1,1,2,William E. Smith,1,3,0,1,9996,0,11/7/2002,11,2002
28,1,1,1,William E. Smith,1,2,0,1,70,0,7/16/2002,7,2002
25,1,1,7,William E. Smith,1,2,0,1,140,0,8/22/2002,8,2002
24,2,1,1,William E. Smith,1,3,0,1,121,0,6/28/2002,6,2002
29,2,1,0,William E. Smith,1,3,0,1,120,0,12/20/2002,12,2002
36,1,1,2,William E. Smith,3,3,0,1,121,0,8/15/2002,8,2002
